Player,No.,Flag,Pos,Age,Ht,Wt,S/C,Exp,Birth Date,Summary,Player-additional
Zachary Jones,6,us,D,22,11-May,185,L/-,2,October 18 2000,1 G 1 A 2 P,jonesza01
Kaapo Kakko,24,fi,RW,21,2-Jun,206,L/-,3,February 13 2001,18 G 22 A 40 P,kakkoka01
Patrick Kane,88,us,RW,34,10-May,177,L/-,15,November 19 1988,5 G 7 A 12 P,kanepa01
Vitali Kravtsov,74,ru,RW,23,3-Jun,186,L/-,1,December 23 1999,3 G 3 A 6 P,kravtvi01
Chris Kreider,20,us,LW,31,3-Jun,230,L/-,10,April 30 1991,36 G 18 A 54 P,kreidch01
Alexis Lafrenière,13,ca,LW,21,1-Jun,195,L/-,2,October 11 2001,16 G 23 A 39 P,lafreal01
Jake Leschyshyn,15,us,C,23,11-May,198,L/-,1,March 10 1999,0 G 0 A 0 P,leschja01
Ryan Lindgren,55,us,D,24,Jun-00,190,L/-,4,February 11 1998,1 G 17 A 18 P,lindgry01
Niko Mikkola,77,fi,D,26,4-Jun,209,L/-,3,April 27 1996,1 G 2 A 3 P,mikkoni01
K'Andre Miller,79,us,D,23,5-Jun,215,L/-,2,January 21 2000,9 G 34 A 43 P,milleka01
Tyler Motte,14,us,C,27,10-May,192,L/-,6,March 10 1995,5 G 5 A 10 P,mottety01
Artemi Panarin,10,su,LW,31,Jun-00,173,R/-,7,October 30 1991,29 G 63 A 92 P,panarar01
Ryan Reaves,75,ca,RW,36,2-Jun,225,R/-,12,January 20 1987,0 G 0 A 0 P,reavery01
Braden Schneider,Apr-45,ca,D,21,3-Jun,208,R/-,1,September 20 2001,5 G 13 A 18 P,schnebr01
Igor Shesterkin,31,ru,G,27,1-Jun,189,-/L,3,December 30 1995,37-13-8 2.48 GAA,shestig01
Vladimir Tarasenko,91,ru,RW,31,1-Jun,228,L/-,10,December 13 1991,8 G 13 A 21 P,tarasvl01
Vincent Trocheck,16,us,C,29,11-May,184,R/-,9,July 11 1993,22 G 42 A 64 P,trochvi01
Jacob Trouba (C),8,us,D,28,3-Jun,203,R/-,9,February 26 1994,8 G 22 A 30 P,troubja01
Jimmy Vesey,26,us,LW,29,3-Jun,202,L/-,6,May 26 1993,11 G 14 A 25 P,veseyji02
Mika Zibanejad,93,se,C,29,2-Jun,202,R/-,11,April 18 1993,39 G 52 A 91 P,zibanmi01
Sebastian Aho,25,se,D,26,10-May,186,L/-,3,February 17 1996,5 G 18 A 23 P,ahose02
Andy Andreoff,18,ca,LW,31,1-Jun,208,L/-,7,May 17 1991,0 G 1 A 1 P,andrean01
Josh Bailey,12,ca,C,33,1-Jun,200,L/-,14,October 2 1989,8 G 17 A 25 P,bailejo01
Cole Bardreau,54,us,F,29,Jun-00,186,R/-,1,July 22 1993,0 G 0 A 0 P,bardrco01
Mathew Barzal,13,ca,C,25,1-Jun,190,R/-,6,May 26 1997,14 G 37 A 51 P,barzama01
Anthony Beauvillier,18,ca,LW,25,11-May,180,L/-,6,June 8 1997,9 G 11 A 20 P,beauvan01
Kieffer Bellows,20,us,LW,24,1-Jun,195,L/-,3,June 10 1998,0 G 0 A 0 P,belloki01
Samuel Bolduc,Apr-48,ca,D,22,4-Jun,220,L/-,R,December 9 2000,2 G 1 A 3 P,boldusa01
Dennis Cholowski,Jul-39,ca,D,24,2-Jun,210,L/-,4,February 15 1998,0 G 0 A 0 P,cholode01
Casey Cizikas,53,ca,C,31,11-May,190,L/-,11,February 27 1991,6 G 15 A 21 P,cizikca01
Cal Clutterbuck,15,ca,RW,35,Jun-00,212,R/-,15,November 18 1987,6 G 6 A 12 P,cluttca01
Noah Dobson,8,ca,D,23,4-Jun,194,R/-,3,January 7 2000,13 G 36 A 49 P,dobsono01
William Dufour,14-56,ca,RW,21,2-Jun,215,R/-,R,January 28 2002,0 G 0 A 0 P,dufouwi01
Arnaud Durandeau,16-49,ca,LW,24,Jun-00,185,L/-,R,January 14 1999,0 G 0 A 0 P,duranar01
Pierre Engvall,18,se,LW,26,5-Jun,219,L/-,3,May 31 1996,5 G 4 A 9 P,engvapi01
Hudson Fasching,20-45,us,RW,27,3-Jun,204,R/-,5,July 28 1995,10 G 9 A 19 P,faschhu01
Simon Holmström,Oct-37,se,RW,21,2-Jun,215,L/-,R,May 24 2001,6 G 3 A 9 P,holmssi01
Bo Horvat,14,ca,C,27,Jun-00,215,L/-,8,April 5 1995,7 G 9 A 16 P,horvabo01
Ross Johnston,32,ca,LW,28,5-Jun,230,L/-,6,February 18 1994,0 G 2 A 2 P,johnsro02
Otto Koivula,36,fi,LW,24,5-Jun,225,L/-,2,September 1 1998,0 G 2 A 2 P,koivuot01
Anders Lee (C),27,us,LW,32,3-Jun,235,L/-,10,July 3 1990,28 G 22 A 50 P,leean01
Matt Martin,17,ca,LW,33,3-Jun,220,L/-,13,May 8 1989,7 G 12 A 19 P,martima02
Scott Mayfield,24,us,D,30,5-Jun,220,R/-,8,October 14 1992,6 G 18 A 24 P,mayfisc01
Brock Nelson,29,us,C,31,4-Jun,210,L/-,9,October 15 1991,36 G 39 A 75 P,nelsobr01
Jean-Gabriel Pageau,44,ca,C,30,11-May,185,R/-,10,November 11 1992,13 G 27 A 40 P,pageaje01
Kyle Palmieri,21,us,RW,31,11-May,198,R/-,12,February 1 1991,16 G 17 A 33 P,palmiky01
Zach Parise,11,us,LW,38,11-May,195,L/-,17,July 28 1984,21 G 13 A 34 P,parisza01
Adam Pelech,3,ca,D,28,3-Jun,210,L/-,7,August 16 1994,6 G 15 A 21 P,pelecad01
Ryan Pulock,6,ca,D,28,2-Jun,216,R/-,7,October 6 1994,5 G 21 A 26 P,pulocry01
Aatu Räty,43,fi,C,20,2-Jun,190,L/-,R,November 14 2002,2 G 0 A 2 P,ratyaa01
Alexander Romanov,28,ru,D,23,1-Jun,215,L/-,2,January 6 2000,2 G 20 A 22 P,romanal01
Robin Salo,2,fi,D,24,2-Jun,190,L/-,1,October 13 1998,2 G 2 A 4 P,saloro01
Ilya Sorokin,30,ru,G,27,3-Jun,195,-/L,2,August 4 1995,31-22-7 2.34 GAA,sorokil01
Nikita Soshnikov,41,ru,RW,29,11-May,190,L/-,4,October 14 1993,0 G 0 A 0 P,soshnni01
Semyon Varlamov,40,su,G,34,2-Jun,206,-/L,14,April 27 1988,11-9-2 2.70 GAA,varlasi01
Oliver Wahlstrom,26,us,RW,22,2-Jun,204,R/-,3,June 13 2000,7 G 9 A 16 P,wahlsol01
Parker Wotherspoon,38,ca,D,25,1-Jun,190,L/-,R,August 24 1997,0 G 1 A 1 P,wothepa01
Sebastian Aho,20.0,fi,F,25,Jun-00,176,L/-,6,July 26 1997,36 G 31 A 67 P,ahose01
Frederik Andersen,31.0,dk,G,33,4-Jun,238,-/L,9,October 2 1989,21-11-1 2.48 GAA,anderfr01
Brent Burns,8.0,ca,D/RW,37,5-Jun,230,R/-,18,March 9 1985,18 G 43 A 61 P,burnsbr01
Jalen Chatfield,5.0,us,D,26,1-Jun,188,R/-,2,May 16 1996,6 G 8 A 14 P,chatfja01
Dylan Coghlan,15.0,ca,D,24,2-Jun,208,R/-,2,February 19 1998,0 G 3 A 3 P,coghldy01
Calvin de Haan,44.0,ca,D,31,1-Jun,195,L/-,10,May 9 1991,2 G 10 A 12 P,dehaaca01
Jack Drury,18.0,us,C,22,11-May,174,L/-,1,February 3 2000,2 G 6 A 8 P,druryja01
Jesper Fast,71.0,se,RW,31,1-Jun,191,R/-,9,December 2 1991,10 G 19 A 29 P,fastje01
Shayne Gostisbehere,41.0,us,D,29,11-May,183,L/-,8,April 20 1993,3 G 7 A 10 P,gostish01
Seth Jarvis,24.0,ca,C,20,10-May,175,R/-,1,February 1 2002,14 G 25 A 39 P,jarvise01
Ondřej Kaše,73.0,cz,RW,27,Jun-00,187,R/-,6,November 8 1995,0 G 0 A 0 P,kaseon01
Pyotr Kochetkov,52.0,ru,G,23,3-Jun,205,-/L,1,June 25 1999,12-7-5 2.44 GAA,kochepy01
Jesperi Kotkaniemi,82.0,fi,C,22,2-Jun,201,L/-,4,July 6 2000,18 G 25 A 43 P,kotkaje01
Maxime Lajoie,42.0,ca,D,25,1-Jun,191,L/-,3,November 5 1997,0 G 0 A 0 P,lajoima01
Mackenzie MacEachern,,us,LW,28,2-Jun,193,L/-,4,March 9 1994,1 G 1 A 2 P,maceama01
Jordan Martinook,48.0,ca,LW,30,Jun-00,196,L/-,8,July 25 1992,13 G 21 A 34 P,martijo01
Martin Nečas,88.0,cz,C,24,2-Jun,189,R/-,5,January 15 1999,28 G 43 A 71 P,necasma01
Stefan Noesen,23.0,us,RW,29,1-Jun,205,R/-,8,February 12 1993,13 G 23 A 36 P,noesest01
Max Pacioretty,67.0,us,LW,34,2-Jun,217,L/-,14,November 20 1988,3 G 0 A 3 P,pacioma01
Brett Pesce,22.0,us,D,28,3-Jun,206,R/-,7,November 15 1994,5 G 25 A 30 P,pescebr01
Jesse Puljujärvi,13.0,se,RW,24,4-Jun,201,R/-,5,May 7 1998,0 G 2 A 2 P,puljuje01
Antti Raanta,32.0,fi,G,33,Jun-00,195,-/L,9,May 12 1989,19-3-3 2.23 GAA,raantan01
Brady Skjei,76.0,us,D,28,3-Jun,210,L/-,7,March 26 1994,18 G 20 A 38 P,skjeibr01
Jaccob Slavin,74.0,us,D,28,3-Jun,207,L/-,7,May 1 1994,7 G 20 A 27 P,slavija01
Jordan Staal (C),11.0,ca,C,34,4-Jun,220,L/-,16,September 10 1988,17 G 17 A 34 P,staaljo01
Paul Stastny,26.0,ca,C,37,Jun-00,193,L/-,16,December 27 1985,9 G 13 A 22 P,stastpa01
Derek Stepan,21.0,us,C,32,11-May,196,R/-,12,June 18 1990,5 G 6 A 11 P,stepade01
Andrei Svechnikov,37.0,ru,RW,22,2-Jun,195,L/-,4,March 26 2000,23 G 32 A 55 P,svechan01
Teuvo Teräväinen,86.0,fi,F,28,11-May,191,L/-,9,September 11 1994,12 G 25 A 37 P,teravte01
